,datetime_local,popularity,score,short_title,Venue_id,latitude,longitude,Venue_name,average_price,highest_price,listing_count,lowest_price,lowest_price_good_deals,type,type2
36,2017-07-05T19:00:00,0.0,0.0,Heather Robb,58118,40.7221,-73.9885,Rockwood Music Hall - Stage 3,0.0,0,0,0,0,concert,2
37,2017-07-05T19:00:00,0.0,0.0,Rebecca Hart,11379,40.7223,-73.9885,Rockwood Music Hall - Stage 2,0.0,0,0,0,0,concert,2
38,2017-07-05T19:00:00,0.569224,0.636038,Cats - New York,2693,40.7632,-73.9845,Neil Simon Theatre,318.0,1253,192,101,101,broadway_tickets_national,1
39,2017-07-05T19:00:00,0.672668,0.539799,Charlie and the Chocolate Factory - New York,3185,40.759,-73.9861,Lunt-Fontanne Theatre,300.0,599,97,136,0,broadway_tickets_national,1
40,2017-07-05T19:00:00,0.0,0.326275,Cost Of Living - New York,6446,40.7636,-73.9794,New York City Center - Stage 1,0.0,0,0,0,0,theater,3
41,2017-07-05T19:00:00,0.0,0.32421500000000003,Tony Allen Quartet - A Tribute to Art Blakey at (le) poisson rouge,2074,40.7285,-74.0001,Le Poisson Rouge,31.0,31,1,31,0,concert,2
42,2017-07-05T19:00:00,0.640127,0.563987,Wicked - New York,3181,40.7625,-73.985,Gershwin Theatre,345.0,1253,117,256,256,broadway_tickets_national,1
43,2017-07-05T19:00:00,0.0,0.33106399999999997,Thelma and the Sleaze with Las Pinas,327,40.7223,-73.9867,Mercury Lounge,0.0,0,0,0,0,concert,2
44,2017-07-05T19:00:00,0.6543680000000001,0.542304,A Bronx Tale - New York,2941,40.7605,-73.9857,Longacre Theatre,360.0,545,36,116,116,broadway_tickets_national,1
45,2017-07-05T19:30:00,0.0,0.28253,Afterglow - New York,58749,40.76,-73.9905,Davenport Theatre,0.0,0,0,0,0,broadway_tickets_national,1
46,2017-07-05T19:30:00,0.5800960000000001,0.46330600000000005,Amateur Night At The Apollo - New York,1817,40.8097,-73.9502,Apollo Theater,60.0,63,5,57,57,theater,3
47,2017-07-05T19:30:00,0.0,0.28420500000000004,"Cedric ""Catfish"" Turner",8906,40.7569,-73.9884,"Lucille""s At B.B. King Blues Club & Grill - New York",58.0,59,3,55,0,concert,2
