,Day_Date,Day_Name,Hour,Temp_Avg,Conditions,Conditions2
0,1-Aug,Tuesday,12:00 AM,75.9ʡF,Clear,0
1,1-Aug,Tuesday,1:00 AM,75.9ʡF,Clear,0
2,1-Aug,Tuesday,2:00 AM,75.0ʡF,Clear,0
3,1-Aug,Tuesday,3:00 AM,73.9ʡF,Clear,0
4,1-Aug,Tuesday,4:00 AM,73.9ʡF,Clear,0
5,1-Aug,Tuesday,5:00 AM,71.1ʡF,Clear,0
6,1-Aug,Tuesday,6:00 AM,72.0ʡF,Clear,0
7,1-Aug,Tuesday,7:00 AM,75.0ʡF,Clear,0
8,1-Aug,Tuesday,8:00 AM,77.0ʡF,Clear,0
9,1-Aug,Tuesday,9:00 AM,81.0ʡF,Clear,0
10,1-Aug,Tuesday,10:00 AM,82.0ʡF,Clear,0
11,1-Aug,Tuesday,11:00 AM,86.0ʡF,Clear,0
12,1-Aug,Tuesday,12:00 PM,87.1ʡF,Clear,0
13,1-Aug,Tuesday,1:00 PM,89.1ʡF,Clear,0
14,1-Aug,Tuesday,2:00 PM,91.0ʡF,Clear,0
15,1-Aug,Tuesday,3:00 PM,89.1ʡF,Clear,0
16,1-Aug,Tuesday,4:00 PM,86.0ʡF,Clear,0
17,1-Aug,Tuesday,5:00 PM,86.0ʡF,Clear,0
18,1-Aug,Tuesday,6:00 PM,84.0ʡF,Clear,0
19,1-Aug,Tuesday,7:00 PM,82.0ʡF,Clear,0
20,1-Aug,Tuesday,8:00 PM,81.0ʡF,Clear,0
21,1-Aug,Tuesday,9:00 PM,81.0ʡF,Clear,0
22,1-Aug,Tuesday,10:00 PM,80.1ʡF,Clear,0
23,1-Aug,Tuesday,11:00 PM,79.0ʡF,Clear,0
24,2-Aug,Wednesday,12:00 AM,78.1ʡF,Clear,0
25,2-Aug,Wednesday,1:00 AM,78.1ʡF,Clear,0
26,2-Aug,Wednesday,2:00 AM,78.1ʡF,Clear,0
27,2-Aug,Wednesday,3:00 AM,77.0ʡF,Clear,0
28,2-Aug,Wednesday,4:00 AM,77.0ʡF,Clear,0
29,2-Aug,Wednesday,5:00 AM,75.9ʡF,Clear,0
30,2-Aug,Wednesday,6:00 AM,75.9ʡF,Clear,0
31,2-Aug,Wednesday,7:00 AM,77.0ʡF,Clear,0
32,2-Aug,Wednesday,8:00 AM,79.0ʡF,Clear,0
33,2-Aug,Wednesday,9:00 AM,81.0ʡF,Haze,1
34,2-Aug,Wednesday,10:00 AM,84.0ʡF,Clear,0
35,2-Aug,Wednesday,11:00 AM,86.0ʡF,Clear,0
36,2-Aug,Wednesday,12:00 PM,79.0ʡF,Light Rain,3
37,2-Aug,Wednesday,1:00 PM,78.1ʡF,Light Rain,3
38,2-Aug,Wednesday,2:00 PM,78.1ʡF,Scattered Clouds,0
39,2-Aug,Wednesday,3:00 PM,78.1ʡF,Scattered Clouds,0
40,2-Aug,Wednesday,4:00 PM,73.0ʡF,Light Rain,3
41,2-Aug,Wednesday,5:00 PM,69.8ʡF,Rain,3
